venue_name_raw;venue_name_canonical;review_status;match_reason
Estadio Presidente Vargas;Estádio Municipal Presidente Getúlio Vargas;approved;short_name
Estádio Municipal Radialista Mario Helenio;Estádio Municipal Radialista Mário Helênio;approved;normalized_name
Estádio Municipal Radialista Mário Helênio (Juiz de Fora, Minas Gerais);Estádio Municipal Radialista Mário Helênio;approved;city_suffix
Estádio Olímpico João Havelange (Rio de Janeiro);Estádio Nilton Santos;approved;former_name
Estadio Olimpico Nilton Santos;Estádio Nilton Santos;approved;normalized_name
Estádio Olimpico Pedro Ludovico;Estádio Olímpico Pedro Ludovico Teixeira;approved;short_name
Estádio Orlando Scarpelli (Florianópolis, Santa Catarina);Estádio Orlando Scarpelli;approved;city_suffix
Orlando Scarpelli;Estádio Orlando Scarpelli;approved;short_name
Estádio Paulo Constantino (Presidente Prudente, São Paulo);Estádio Paulo Constantino;approved;city_suffix
Estádio Romildo Vitor Gomes Ferreira (Mogi Mirim, São Paulo);Estádio Romildo Vitor Gomes Ferreira;approved;city_suffix
Estadio Urbano Caldeira;Estádio Urbano Caldeira;approved;normalized_name
Estádio Urbano Caldeira (Santos, São Paulo);Estádio Urbano Caldeira;approved;city_suffix
Urbano Caldeira;Estádio Urbano Caldeira;approved;short_name
Vila Belmiro;Estádio Urbano Caldeira;approved;nickname
MRV Arena;Arena MRV;approved;normalized_name
Arena Amazônia (Manaus, Amazonas);Arena Amazônia;approved;city_suffix
Arena das Dunas;Arena das Dunas;approved;canonical
Arena Joinville;Arena Joinville;approved;canonical
Estadio Giulite Coutinho;Estádio Giulite Coutinho;approved;normalized_name
Estádio Antônio Accioly;Estádio Antônio Accioly;approved;canonical
Estádio de Hailé Pinheiro;Estádio de Hailé Pinheiro;approved;canonical
Estádio Elmo Serejo Farias (Taguatinga, Distrito Federal);Estádio Elmo Serejo Farias;approved;city_suffix
Estádio Érton Coelho de Queiroz;Estádio Érton Coelho de Queiroz;approved;canonical
Estádio Estadual Jornalista Edgar Augusto Proença (Belém, Pará);Estádio Estadual Jornalista Edgar Augusto Proença;approved;city_suffix
Estádio Estadual Lourival Baptista;Estádio Estadual Lourival Baptista;approved;canonical
Estádio Governador João Castelo Ribeiro Gonçalves (São Luís, Maranhão);Estádio Governador João Castelo Ribeiro Gonçalves;approved;city_suffix
Estádio João Lamego Neto (Ipatinga, Minas Gerais);Estádio João Lamego Neto;approved;city_suffix
Estádio José Maria de Campos Maia;Estádio José Maria de Campos Maia;approved;canonical
Estádio Municipal Dr. Novelli Júnior;Estádio Municipal Dr. Novelli Júnior;approved;canonical
Estádio Municipal Eduardo José Farah (Presidente Prudente, São Paulo);Estádio Paulo Constantino;approved;former_name
Estádio Municipal Jacy Scaff (Londrina, Paraná);Estádio Municipal Jacy Scaff;approved;city_suffix
Estádio Municipal Juscelino Kubitschek de Oliveira (Itumbiara, Goiás);Estádio Municipal Juscelino Kubitschek de Oliveira;approved;city_suffix
Estádio Municipal Prefeito Dilzon Luiz de Melo (Varginha, Minas Gerais);Estádio Municipal Prefeito Dilzon Luiz de Melo;approved;city_suffix
Estádio Municipal Prefeito José Liberatti;Estádio Municipal Prefeito José Liberatti;approved;canonical
Estádio Nabi Abi Chedid;Estádio Nabi Abi Chedid;approved;canonical
Estádio Olímpico Monumental (Porto Alegre, Rio Grande do Sul);Estádio Olímpico Monumental;approved;city_suffix
Estádio Palestra Itália (São Paulo, São Paulo);Estádio Palestra Itália;approved;historical_venue
Estádio Primeiro de Maio (São Bernardo do Campo, São Paulo);Estádio Primeiro de Maio;approved;city_suffix
Estádio Regional Willie Davids (Maringá, Paraná);Estádio Regional Willie Davids;approved;city_suffix
Estádio Rei Pelé;Estádio Rei Pelé;approved;canonical
Estádio Universitário Pedro Pedrossian;Estádio Universitário Pedro Pedrossian;approved;canonical
Estádio Universitário Pedro Pedrossian (Campo Grande, Mato Grosso do Sul);Estádio Universitário Pedro Pedrossian;approved;city_suffix
Estádio Walmir Campelo Bezerra (Gama, Distrito Federal);Estádio Walmir Campelo Bezerra;approved;city_suffix
Estádio do Pacaembu;Estádio do Pacaembu;approved;canonical
Estádio Serra Dourada;Estádio Serra Dourada;approved;canonical
Estádio Olímpico Monumental;Estádio Olímpico Monumental;approved;canonical
